episode_id,scene_id,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000083,00874-uSKXQ5fFg6u,34,1.0,0.0,0.0,0.0,1.0,-0.13604290783405304,0,0
hm3d_narrow_000078,00874-uSKXQ5fFg6u,41,1.0,0.0,0.0,0.0,1.0,-0.13532677292823792,0,0
hm3d_narrow_000086,00874-uSKXQ5fFg6u,50,1.0,0.0,0.0,0.0,1.0,-0.14604830741882324,0,0
hm3d_narrow_000140,00897-LEFTm3JecaC,66,1.0,0.0,0.0,0.0,1.0,-0.15226978063583374,0,0
hm3d_narrow_000147,00897-LEFTm3JecaC,113,1.0,0.0,0.0,0.0,1.0,-0.11050092428922653,0,0
hm3d_narrow_000143,00897-LEFTm3JecaC,67,1.0,0.0,0.0,0.0,1.0,-0.13601893186569214,0,0
hm3d_narrow_000138,00853-5cdEh9F2hJL,51,1.0,0.0,0.0,0.0,1.0,-0.15152068436145782,0,0
hm3d_narrow_000137,00853-5cdEh9F2hJL,36,1.0,0.0,0.0,0.0,1.0,-0.16045428812503815,0,0
hm3d_narrow_000132,00853-5cdEh9F2hJL,41,1.0,0.0,0.0,0.0,1.0,-0.1423257738351822,0,0
hm3d_narrow_000053,00817-X4qjx5vquwH,30,1.0,0.0,0.0,0.0,1.0,-0.0974525734782219,0,0
hm3d_narrow_000018,00812-mma8eWq3nNQ,43,1.0,0.0,0.0,0.0,1.0,-0.09826651215553284,0,0
hm3d_narrow_000019,00812-mma8eWq3nNQ,28,1.0,0.0,0.0,0.0,1.0,-0.14031605422496796,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,46,1.0,0.0,0.0,0.0,1.0,-0.11589036136865616,0,0
hm3d_narrow_000093,00838-kJJyRFXVpx2,103,1.0,0.0,0.0,0.0,1.0,-0.1430247724056244,0,0
hm3d_narrow_000091,00838-kJJyRFXVpx2,32,1.0,0.0,0.0,0.0,1.0,-0.15970678627490997,0,0
hm3d_narrow_000092,00838-kJJyRFXVpx2,52,1.0,0.0,0.0,0.0,1.0,-0.1409216672182083,0,0
hm3d_narrow_000010,00879-7Ukhou1GxYi,99,1.0,0.0,0.0,0.0,1.0,-0.13624876737594604,0,0
hm3d_narrow_000011,00879-7Ukhou1GxYi,45,1.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000076,00827-BAbdmeyTvMZ,53,1.0,0.0,0.0,0.0,1.0,-0.09559742361307144,0,0
hm3d_narrow_000077,00827-BAbdmeyTvMZ,32,1.0,0.0,0.0,0.0,1.0,-0.1184815987944603,0,0
hm3d_narrow_000129,00805-SUHsP6z2gcJ,59,1.0,0.0,0.0,0.0,1.0,-0.14672034978866577,0,0
hm3d_narrow_000115,00865-fsQtJ8t3nTf,56,1.0,0.0,0.0,0.0,1.0,-0.10517051815986633,0,0
hm3d_narrow_000089,00845-c3WKCnkEdha,34,1.0,0.0,0.0,0.0,1.0,-0.14365309476852417,0,0
hm3d_narrow_000040,00836-7GAhQPFzMot,40,1.0,0.0,0.0,0.0,1.0,-0.13633498549461365,0,0
