episode_id,scene_id,difficulty,body_margin,steps,success,collision,stuck,rejected,near_collision,min_clearance,recover_triggers,memory_writes
hm3d_narrow_000026,00812-mma8eWq3nNQ,narrow,0.0701,500,0.0,0.0,0.0,0.0,1.0,-0.16837874054908752,0,0
hm3d_narrow_000027,00812-mma8eWq3nNQ,narrow,0.0853,500,0.0,0.0,0.0,0.0,1.0,-0.13254638016223907,0,0
hm3d_narrow_000025,00812-mma8eWq3nNQ,normal,0.1656,500,0.0,0.0,0.0,0.0,1.0,-0.1709902137517929,0,0
hm3d_narrow_000029,00812-mma8eWq3nNQ,narrow,0.1041,500,0.0,0.0,0.0,0.0,1.0,-0.16981811821460724,0,0
hm3d_narrow_000022,00812-mma8eWq3nNQ,narrow,0.0352,500,0.0,0.0,0.0,0.0,1.0,-0.17014183104038239,0,0
hm3d_narrow_000021,00812-mma8eWq3nNQ,narrow,0.0206,500,0.0,0.0,0.0,0.0,1.0,-0.17076236009597778,0,0
hm3d_narrow_000024,00812-mma8eWq3nNQ,wide,0.4601,500,0.0,0.0,0.0,0.0,1.0,-0.1498394012451172,0,0
hm3d_narrow_000023,00812-mma8eWq3nNQ,normal,0.2256,500,0.0,0.0,0.0,0.0,1.0,-0.17103427648544312,0,0
hm3d_narrow_000020,00812-mma8eWq3nNQ,narrow,0.0311,500,0.0,0.0,1.0,0.0,1.0,-0.15340088307857513,0,0
hm3d_narrow_000028,00812-mma8eWq3nNQ,narrow,0.0663,500,0.0,0.0,0.0,0.0,1.0,-0.1699511706829071,0,0
hm3d_narrow_000008,00832-qyAac8rV8Zk,narrow,0.0649,500,0.0,0.0,0.0,0.0,1.0,-0.15798014402389526,0,0
hm3d_narrow_000004,00832-qyAac8rV8Zk,normal,0.3876,500,0.0,0.0,0.0,0.0,1.0,-0.17214488983154297,0,0
hm3d_narrow_000005,00832-qyAac8rV8Zk,normal,0.3156,500,0.0,0.0,0.0,0.0,1.0,-0.17256766557693481,0,0
hm3d_narrow_000001,00832-qyAac8rV8Zk,normal,0.2931,500,0.0,0.0,1.0,0.0,1.0,-0.16946947574615479,0,0
hm3d_narrow_000009,00832-qyAac8rV8Zk,narrow,0.1024,500,0.0,0.0,0.0,0.0,1.0,-0.17227423191070557,0,0
hm3d_narrow_000002,00832-qyAac8rV8Zk,narrow,0.0511,500,0.0,0.0,0.0,0.0,1.0,-0.171525239944458,0,0
hm3d_narrow_000007,00832-qyAac8rV8Zk,normal,0.2711,500,0.0,0.0,0.0,0.0,1.0,-0.17203488945960999,0,0
hm3d_narrow_000006,00832-qyAac8rV8Zk,narrow,0.0592,500,0.0,0.0,0.0,0.0,1.0,-0.1729060858488083,0,0
hm3d_narrow_000003,00832-qyAac8rV8Zk,narrow,0.109,500,0.0,0.0,0.0,0.0,1.0,-0.1705731898546219,0,0
hm3d_narrow_000000,00832-qyAac8rV8Zk,wide,0.6247,500,0.0,0.0,0.0,0.0,1.0,-0.17046509683132172,0,0
hm3d_narrow_000011,00879-7Ukhou1GxYi,narrow,0.0438,500,0.0,0.0,0.0,0.0,1.0,-0.17152300477027893,0,0
hm3d_narrow_000010,00879-7Ukhou1GxYi,narrow,0.0772,500,0.0,0.0,1.0,0.0,1.0,-0.17123548686504364,0,0
hm3d_narrow_000017,00879-7Ukhou1GxYi,normal,0.2182,500,0.0,0.0,0.0,0.0,1.0,-0.17142823338508606,0,0
hm3d_narrow_000013,00879-7Ukhou1GxYi,normal,0.3149,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000019,00879-7Ukhou1GxYi,narrow,0.0709,500,0.0,0.0,1.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000014,00879-7Ukhou1GxYi,normal,0.3289,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000016,00879-7Ukhou1GxYi,normal,0.2201,500,0.0,0.0,0.0,0.0,1.0,-0.17122110724449158,0,0
hm3d_narrow_000018,00879-7Ukhou1GxYi,narrow,0.0938,500,0.0,0.0,1.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000015,00879-7Ukhou1GxYi,normal,0.1825,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000012,00879-7Ukhou1GxYi,narrow,0.0107,500,0.0,0.0,1.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000073,00827-BAbdmeyTvMZ,narrow,0.1413,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000071,00827-BAbdmeyTvMZ,narrow,0.1449,500,0.0,0.0,0.0,0.0,1.0,-0.15249872207641602,0,0
hm3d_narrow_000078,00827-BAbdmeyTvMZ,narrow,0.0161,500,0.0,0.0,0.0,0.0,1.0,-0.1688193529844284,0,0
hm3d_narrow_000074,00827-BAbdmeyTvMZ,normal,0.1792,500,0.0,0.0,0.0,0.0,1.0,-0.16881737112998962,0,0
hm3d_narrow_000076,00827-BAbdmeyTvMZ,normal,0.1925,500,0.0,0.0,0.0,0.0,1.0,-0.14260584115982056,0,0
hm3d_narrow_000075,00827-BAbdmeyTvMZ,normal,0.1531,500,0.0,0.0,0.0,0.0,1.0,-0.18000000715255737,0,0
hm3d_narrow_000072,00827-BAbdmeyTvMZ,normal,0.2783,500,0.0,0.0,1.0,0.0,1.0,-0.16775360703468323,0,0
hm3d_narrow_000077,00827-BAbdmeyTvMZ,narrow,0.1221,500,0.0,0.0,1.0,0.0,1.0,-0.1695011556148529,0,0
hm3d_narrow_000070,00827-BAbdmeyTvMZ,narrow,0.1377,500,0.0,0.0,1.0,0.0,1.0,-0.16954566538333893,0,0
hm3d_narrow_000079,00827-BAbdmeyTvMZ,narrow,0.0221,500,0.0,0.0,0.0,0.0,1.0,-0.13954660296440125,0,0
hm3d_narrow_000123,00862-LT9Jq6dN3Ea,wide,0.5214,500,0.0,0.0,0.0,0.0,1.0,-0.17081914842128754,0,0
hm3d_narrow_000121,00862-LT9Jq6dN3Ea,normal,0.3339,500,0.0,0.0,1.0,0.0,1.0,-0.13103754818439484,0,0
hm3d_narrow_000120,00862-LT9Jq6dN3Ea,normal,0.3395,500,0.0,0.0,1.0,0.0,1.0,-0.16932618618011475,0,0
